OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape__Area,Shape__Length,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,DECADES
2547,1878,CA,CCO,LAC, ,00000000,,,14,,59468.88281,,1,00000000,353482234.8,106603.3489,,,,
2551,1895,CA,CCO,LAC, ,00000000,,,14,,628.1136475,,1,00000000,3727268.53,7182.12028,,,,
2552,1896,CA,CCO,LAC, ,00000000,,,14,,7531.716797,,1,00000000,44732431.69,36532.90743,,,,
2553,1898,CA,CCO,LAC, ,00000000,,,14,,1660.103027,,1,00000000,9856938.101,13596.20232,,,,
2554,1898,CA,CCO,LAC, ,00000000,,,14,,428.4387207,,1,00000000,2549187.972,6055.519257,,,,
2555,1898,CA,CCO,VNC,LOS PADRES,00000000,1898/09/01 00:00:00+00,,14,,20539.94922,,1,00000000,122526841,56066.32216,,,,
4674,1898,CA,CCO,VNC,MATILIJA,00000000,1898/04/01 00:00:00+00,,14,,2641.123047,,1,00000000,15770124.03,27417.39091,,,,
4675,1898,CA,CCO,VNC,COZY DELL,00000000,1898/09/01 00:00:00+00,,14,,2974.585205,,1,00000000,17759223.37,18817.25735,,,,
2988,1900,CA,CDF,RRU, ,00000000,,,14,,978.7540894,,1,00000000,5765730.606,17421.24473,,,,
2989,1900,CA,CCO,LAC,BIG FIRE,00000000,,,14,,2521.063721,,1,00000000,14954868.78,21360.44815,,,,
2990,1900,CA,CCO,LAC,BIG FIRE,00000000,,,14,,16960.49414,,1,00000000,100671985.6,73828.49125,,,,
2991,1900,CA,CDF,RRU,BEDFORD-ISLAND,00000000,,,14,,76.10221863,,1,00000000,447184.2528,4507.19949,,,,
2992,1900,CA,CDF,SHU,RI/ESCAPE,00000000,,,14,,442.6461487,,1,00000000,3108535.817,10261.79539,,,,
4676,1900,CA,USF,BDF, ,00000000,,,14,,1300.429199,,1,00000000,7668620.902,13605.33577,,,,
4677,1900,CA,CDF,RRU, ,00000000,,,14,,755.652771,,1,00000000,4411209.742,9939.105525,,,,
4770,1900,CA,USF,PNF, ,00000000,,,14,,419.398468,,1,00000001,2902276.125,7177.273791,,,,
4771,1900,CA,USF,MDF, ,00000000,,,14,,77.06743622,,1,00000000,558756.62,3153.949816,,,,
